,Product Name,Type,Specific Type,Payment Method,Vendor,Ships From,Ships To,Order Quantity,Price,IDENTIFIER
product 4,Top Shelf Shop Haze 🍁 Sativa imported from Netherlands,Cannabis,Buds & Flowers,FE,Dutchflower,Germany,Europe,1g,13,Dutchflower
product 5,Tokyo Sunset Packz - Cali Import 🇺🇸 -> 🇩🇪,Cannabis,Buds & Flowers,FE,Dutchflower,Germany,Europe,1,79,Dutchflower
product 0,LIQUID MDMA CHAMPAGNE WORLDWIDE,Ecstasy,MDMA,Escrow,DutchMedicines,Netherlands,Worldwide,1000ml,7500,DutchMedicines
product 1,MORPHINE SUPPOSITORY HCI 10MG,Opiates,Opiate Substitutes,Escrow,DutchMedicines,Netherlands,Worldwide,5,50,DutchMedicines
product 2,MORPHINE AMPOULLE VIALS  10ML,Opiates,Opiate Substitutes,Escrow,DutchMedicines,Netherlands,Worldwide,1,5,DutchMedicines
product 3,FENTANYL PATCHES 12MG AURO TEVA SANDOZ 1A PHARMA CF,Opiates,Opiate Substitutes,Escrow,DutchMedicines,Netherlands,Worldwide,1,6,DutchMedicines
product 4,MORPHINE PILLS 10MG HCI CENTRAFARM,Opiates,Opiate Substitutes,Escrow,DutchMedicines,Netherlands,Worldwide,10,35,DutchMedicines
product 5,TRAMADOL 100MG SANDOZ ORIGINAL BOX,Benzodiazepines,Pills,Escrow,DutchMedicines,Netherlands,Worldwide,120mg,300,DutchMedicines
product 6,M100 MORPHINE PILLS TABS,Opiates,Opiate Substitutes,Escrow,DutchMedicines,Netherlands,Worldwide,1,25,DutchMedicines
product 7,MDMA CHAMPAGNE 85% LAB EU,Ecstasy,MDMA,Escrow,DutchMedicines,Netherlands,Europe,10mg,45,DutchMedicines
product 0,Ketamine R-Isomer Needle - High Purity - NL>>EU,Disassociatives,Ketamine,Escrow,DutchSales,Netherlands,Europe,50g,385,DutchSales
product 1,ACAB XTC pills - 250mg MDMA - NL>>EU,Ecstasy,Pills,Escrow,DutchSales,Netherlands,Europe,100,125,DutchSales
product 2,Ketamine S-Isomer Sugar - High Purity - NL>>EU,Disassociatives,Ketamine,Escrow,DutchSales,Netherlands,Europe,50g,360,DutchSales
product 3,Bolivian Cocaine - 89%+ Purity - NL>>EU,Stimulants,Coke,Escrow,DutchSales,Netherlands,Europe,10g,400,DutchSales
product 4,Dutch MDMA Champagne/Cola - 84%+ Purity - NL>>EU,Ecstasy,MDMA,Escrow,DutchSales,Netherlands,Europe,50g,270,DutchSales
product 5,6ix9ine XTC pills - 250mg MDMA - NL>>EU,Ecstasy,Pills,Escrow,DutchSales,Netherlands,Europe,100,125,DutchSales
product 6,Pop Smoke XTC pills - 300mg MDMA - NL>>EU,Ecstasy,Pills,Escrow,DutchSales,Netherlands,Europe,100,135,DutchSales
product 7,Amphetamine Speed Paste - 74%+ Purity - NL>>EU,Stimulants,Speed,Escrow,DutchSales,Netherlands,Europe,1000g,1400,DutchSales
product 0,(INTRO OFFER) Lower Purity Sociable Cocaine 35 GBP,Stimulants,Coke,Escrow,EBAYUK,United Kingdom,United Kingdom,0.5g,28,EBAYUK
product 1,(INTRO OFFER) Colombian Brick Cocaine 55 per gram by EBAYUK,Stimulants,Coke,Escrow,EBAYUK,United Kingdom,United Kingdom,0.5g,45,EBAYUK
product 0,BATCH#2 Ekologisk odlad Auto Viking Thor,Cannabis,Buds & Flowers,Escrow,ecoweed,Sweden,Sweden,1g,11,ecoweed
product 0,PHANTOM OG,Cannabis,Hash,Escrow,EiffelCart3l,France,Worldwide,5g,40,EiffelCart3l
product 1,KETAMA GOLD,Cannabis,Hash,Escrow,EiffelCart3l,France,Worldwide,5g,40,EiffelCart3l
product 2,BANANA KUSH x2 Filtered,Cannabis,Hash,Escrow,EiffelCart3l,France,Worldwide,5g,50,EiffelCart3l
product 3,SOUR TANGIE DRY,Cannabis,Hash,Escrow,EiffelCart3l,France,Worldwide,5g,40,EiffelCart3l
product 4,Cocaine Medellin,Stimulants,Coke,Escrow,EiffelCart3l,France,Worldwide,1g,60,EiffelCart3l
product 5,OG KUSH x2 Filtered,Cannabis,Hash,Escrow,EiffelCart3l,France,Worldwide,5g,50,EiffelCart3l
product 6,SUPER LEMON HAZE DRY AAA++ BEST QUALITY,Cannabis,Hash,Escrow,EiffelCart3l,France,Worldwide,5g,40,EiffelCart3l
product 7,Amnesia Haze - 25% THC AAA++ TOP QUALITY,Cannabis,Buds & Flowers,Escrow,EiffelCart3l,France,Worldwide,5g,65,EiffelCart3l
product 0,Morphine Sulfate 30mg (DIMORF),Opiates,Pills,Escrow,elbatron,Brazil,Worldwide,50,179,elbatron
product 1,Methylphenidate (Ritalin) 10mg,Prescriptions,Other,Escrow,elbatron,Brazil,Worldwide,30,74,elbatron
product 2,Tramadol 50mg,Opiates,Pills,Escrow,elbatron,Brazil,Worldwide,30,25,elbatron
product 3,Oxycodone 20mg (Oxypinal),Opiates,Pills,Escrow,elbatron,Brazil,Worldwide,30,193,elbatron
product 4,Diazepam 10mg,Benzodiazepines,Pills,Escrow,elbatron,Brazil,Worldwide,30,19,elbatron
product 0,Preivate listing for greengobblins  - Sunset  - $1000,Cannabis,Buds & Flowers,Escrow,EmeraldCity,United States of America,United States of America,1lb,920,EmeraldCity
product 1,New crop:  Sunset Sherbert  - 2OZ $185  - 1/2 $625,Cannabis,Buds & Flowers,Escrow,EmeraldCity,United States of America,United States of America,2oz,170,EmeraldCity
product 2,New Crop:  Fire OG - 2OZ $175  1/2 $585  1LB $945,Cannabis,Buds & Flowers,Escrow,EmeraldCity,United States of America,United States of America,2oz,161,EmeraldCity
product 3,New Crop;  Chiesel - 2 OZ $185  1/2 $625,Cannabis,Buds & Flowers,Escrow,EmeraldCity,United States of America,United States of America,2oz,170,EmeraldCity
product 4,Private listing for Mercurialmisery  - Sunset  2 OZ $200,Cannabis,Buds & Flowers,Escrow,EmeraldCity,United States of America,United States of America,2oz,184,EmeraldCity
product 0,70 mg VYVANSE - NO MINIMUM ORDER - BETTER THAN ADDERALL,Stimulants,Pills,Escrow,empireone,United States of America,United States of America,1mg,37,empireone
product 0,TOP QUALITY KETAMINE NEEDLE R-ISOMER (INTRO REA) 🇳🇱,Disassociatives,Ketamine,Escrow,Estrella,Sweden,Sweden,3g,52,Estrella
product 1,NYHET! TOPP AMFETAMIN #3 REA!,Stimulants,Speed,Escrow,Estrella,Sweden,Sweden,10g,52,Estrella
product 2,TOPP AMFETAMIN #1,Stimulants,Speed,Escrow,Estrella,Sweden,Sweden,10g,50,Estrella
product 3,SKYWALKER O.G - Δ9 THC CARTRIDGE - 1.1ML!,Cannabis,Concentrates,Escrow,Estrella,Sweden,Sweden,1ml,50,Estrella
product 4,BULK ANNONS MDMA (TOP QUALITY),Ecstasy,MDMA,Escrow,Estrella,Sweden,Sweden,1kg,5200,Estrella
product 5,NY BATCH! (LACOSTE - 2022),Opiates,Heroin,Escrow,Estrella,Sweden,Sweden,0.5g,40,Estrella
product 6,NYHET! TOPP AMFETAMIN #2,Stimulants,Speed,Escrow,Estrella,Sweden,Sweden,10g,55,Estrella
product 7,BOLIVIANSKT KOKAIN (BTC + MONTBLANC) 🇧🇴,Stimulants,Coke,Escrow,Estrella,Sweden,Sweden,1g,65,Estrella
product 0,Changa - Ratio 50:50,Pyschedelic,DMT,Escrow,EternalRainbow,Sweden,Europe,1g,69,EternalRainbow
product 1,Svamp Cubensis B+ (Special-batch),Pyschedelic,Mushrooms,Escrow,EternalRainbow,Sweden,Sweden,5g,53,EternalRainbow
product 0,"Etomethazene 20% - safe and legal replacement for fentanyl,",Opiates,RC Opioids,Escrow,EtoMeth,Czech Republic,Worldwide,1g,50,EtoMeth
product 1,Etomethazene e-cigarette - safe replacement for fentanyl,Opiates,RC Opioids,Escrow,EtoMeth,Czech Republic,Worldwide,1,30,EtoMeth
product 0,LSD 140ug blotters,Pyschedelic,LSD,Escrow,EuphoriaDNM,Norway,Norway,5,57,EuphoriaDNM
product 0,Kosh Kush A grade,Cannabis,Buds & Flowers,Escrow,EUROSHOP,Spain,Europe,50g,300,EUROSHOP
product 1,OPENING OFFER 5g Sample Kosh Kush A grade,Cannabis,Buds & Flowers,Escrow,EUROSHOP,Spain,Europe,5g,40,EUROSHOP
product 2,2  X Test E 250 mg/ml  1 X  Tren A 100 mg /ml UK - UK NDD,Steroids,Injectable,Escrow,EUROSHOP,United Kingdom,United Kingdom,1,140,EUROSHOP
product 3,FREE 1g Sample Kosh Kush A grade. Just pay the post..,Cannabis,Buds & Flowers,Escrow,EUROSHOP,Spain,Europe,1g,1,EUROSHOP
product 4,Bruce Banner #F1 A grade,Cannabis,Buds & Flowers,Escrow,EUROSHOP,Spain,Europe,50g,300,EUROSHOP
product 5,3 X Testesteron Eth 250 mg /ml UK - UK NDD,Steroids,Injectable,Escrow,EUROSHOP,United Kingdom,United Kingdom,1,135,EUROSHOP
product 6,3 X Tren A 100 mg /ml UK - UK NDD,Steroids,Injectable,Escrow,EUROSHOP,United Kingdom,United Kingdom,1,135,EUROSHOP
product 0,2CB PINK NASA ROCKETS 28MG PILLS * (AAA+),Pyschedelic,2C-x,Escrow,eurostars,Germany,Worldwide,20mg,60,eurostars
product 1,"SPEED PASTE AMPHETAMINE * (NO CAFF, PURE A OIL)",Stimulants,Speed,Escrow,eurostars,Germany,Worldwide,5g,40,eurostars
product 2,KETAMINE SUGAR * UNCUT - S-KET HQ (REDSEAL),Disassociatives,Ketamine,Escrow,eurostars,Germany,Worldwide,2g,25,eurostars
product 3,"TUCIBI * PINK COCAINE * PINK PANTHER (RARE PRODUCT, HQ)",Pyschedelic,2C-x,Escrow,eurostars,Germany,Worldwide,1g,45,eurostars
product 4,(BE-BE) : LSD DRAGON BALL Z * 250UG (AAA+),Pyschedelic,LSD,Escrow,eurostars,Belgium,Worldwide,1,10,eurostars
product 5,(BE-BE) : COLOMBIAN COCAINE * (HQ BRICK 90% !!),Stimulants,Coke,Escrow,eurostars,Belgium,Belgium,1g,50,eurostars
product 6,KETAMINE NEEDLE * UNCUT S-KET HQ (BLUESEAL),Disassociatives,Ketamine,Escrow,eurostars,Germany,Worldwide,2g,25,eurostars
product 7,(BE-BE) : 2CB PINK NASA ROCKETS 28MG PILLS * (AAA+),Pyschedelic,2C-x,Escrow,eurostars,Belgium,Belgium,20mg,60,eurostars
product 0,Genuine Galenika Bensedin Diazepam Valium,Benzodiazepines,Pills,Escrow,exclusivepharma,United Kingdom,Worldwide,30,25,exclusivepharma
product 1,Clonazepam 2mg PHARMA TABS,Benzodiazepines,Pills,Escrow,exclusivepharma,United Kingdom,Worldwide,10,14,exclusivepharma
product 2,Viagra Connect Genuine UK 50mg 8 Tablets,Stimulants,Pills,Escrow,exclusivepharma,United Kingdom,Worldwide,8,25,exclusivepharma
product 3,VALIUM 10MG BY MARTIN DOW,Benzodiazepines,Pills,Escrow,exclusivepharma,United Kingdom,Worldwide,10,15,exclusivepharma
product 4,Co-Codamol 30/500mg TABS,Opiates,Pills,Escrow,exclusivepharma,United Kingdom,United Kingdom,50,32,exclusivepharma
product 5,Emergency contraception (levonorgestrel) 1.5mg,Opiates,Pills,Escrow,exclusivepharma,United Kingdom,United Kingdom,1,11,exclusivepharma
product 6,ZOLMIND Zolpidem (ambien) 10mg,Benzodiazepines,Pills,Escrow,exclusivepharma,United Kingdom,Worldwide,10,14,exclusivepharma
product 7,DOXYCYCLINE (antibiotic) Doxycycline 100 mg,Prescriptions,Other,Escrow,exclusivepharma,United Kingdom,Worldwide,50,28,exclusivepharma
product 0,Utförsäljning på vårt sista !!!M.C.K KOKAIN!!,Stimulants,Coke,Escrow,Experterna,Sweden,Sweden,1g,49,Experterna
product 1,Panda Hash!! Rea!! Rea!! Rea!!,Cannabis,Hash,Escrow,Experterna,Sweden,Sweden,5g,27,Experterna
product 2,Ksalol 1 MG Galenika Intropriser!!!,Benzodiazepines,Pills,Escrow,Experterna,Sweden,Sweden,15,10,Experterna
product 3,Ecstasy 240 mg garanterat bästa pris samt bästa kvaliten!!,Ecstasy,Pills,Escrow,Experterna,Sweden,Sweden,5,18,Experterna
product 0,"A-Post 1DD Pure Organic -Peruvian Cocaine 97,2%",Stimulants,Coke,Escrow,Expresslady,Switzerland,Switzerland,1g,149,Expresslady
product 1,A-Post 1DD - Colombian Cocaine - 68.-/Gram,Stimulants,Coke,Escrow,Expresslady,Switzerland,Switzerland,2.5g,171,Expresslady
product 2,"A-Post 1DD Pure Organic -Bolivian Cocaine - Fishscale 96,8%",Stimulants,Coke,Escrow,Expresslady,Switzerland,Switzerland,1g,155,Expresslady
product 0,500g HQ Uncut Speed Paste - Price reduced by 15%,Stimulants,Speed,Escrow,ExpressService24,Germany,Europe,500g,730,ExpressService24
product 1,20g HQ Uncut Speed Paste - Price reduced by 15%,Stimulants,Speed,Escrow,ExpressService24,Germany,Europe,20g,55,ExpressService24
product 2,High Quality Uncut Speed Paste - Made By Our Own,Stimulants,Speed,Escrow,ExpressService24,Germany,Multiple,10g,28,ExpressService24
product 3,Highest Quality MDMA Crystals -->84% Purity<--,Ecstasy,MDMA,Escrow,ExpressService24,Germany,Multiple,1g,11,ExpressService24
product 4,50g HQ Uncut Speed Paste - 15% Extra -,Stimulants,Speed,Escrow,ExpressService24,Germany,Europe,50g,135,ExpressService24
product 5,100g Pure uncut Speed Paste - SPECIAL DISCOUNT,Stimulants,Speed,Escrow,ExpressService24,Germany,Europe,100g,150,ExpressService24
product 6,200g HQ Uncut Speed Paste - Price reduced by 15%,Stimulants,Speed,Escrow,ExpressService24,Germany,Europe,200g,290,ExpressService24
product 0,Changa 50% DMT,Pyschedelic,DMT,Escrow,Fernweh,Germany,Worldwide,250mg,20,Fernweh
product 1,Liquid LSD | 200µg/drop,Pyschedelic,LSD,Escrow,Fernweh,Germany,Worldwide,3ml,189,Fernweh
product 2,"Modafinil 200mg ""Modvigil200"" stronger Ritalin",Stimulants,Smartdrugs,Escrow,Fernweh,Germany,Worldwide,10,29,Fernweh
product 3,Ketamine Racemat (Sugar),Disassociatives,Ketamine,Escrow,Fernweh,Germany,Worldwide,1g,27,Fernweh
product 4,Liquid LSD | 10µg/drop,Pyschedelic,LSD,Escrow,Fernweh,Germany,Worldwide,3ml,35,Fernweh
product 5,LSD Blotter 200µg white Peaks XTAL,Pyschedelic,LSD,Escrow,Fernweh,Germany,Worldwide,10,26,Fernweh
product 6,Liquid LSD | 25µg/drop,Pyschedelic,LSD,Escrow,Fernweh,Germany,Worldwide,3ml,49,Fernweh
product 7,Liquid LSD | 100µg/drop,Pyschedelic,LSD,Escrow,Fernweh,Germany,Worldwide,3ml,139,Fernweh
product 0,COLUMBIAN FISHSCALE COCAINE (UK-UK),Stimulants,Coke,Escrow,FilthyFellas,United Kingdom,United Kingdom,0.5g,40,FilthyFellas
product 1,Ketamine S-Isomer Shards (UK-WW),Disassociatives,Ketamine,Escrow,FilthyFellas,United Kingdom,Worldwide,1g,31,FilthyFellas
product 2,Blue Tesla XTC Pills Roughly 200mg,Ecstasy,Pills,Escrow,FilthyFellas,United Kingdom,Worldwide,3,17,FilthyFellas
product 3,MDMA Coca-Cola Rocks (UK-UK),Ecstasy,MDMA,Escrow,FilthyFellas,United Kingdom,United Kingdom,1g,34,FilthyFellas
product 4,MDMA Coca-Cola Rocks (UK-WW),Ecstasy,MDMA,Escrow,FilthyFellas,United Kingdom,Worldwide,1g,45,FilthyFellas
product 5,ROLLS ROYCE AFGHAN HEROIN (UK-UK),Opiates,Heroin,Escrow,FilthyFellas,United Kingdom,United Kingdom,0.5g,28,FilthyFellas
product 6,2mg Xanax Bars Alprazolam UK-WW,Benzodiazepines,Pills,Escrow,FilthyFellas,United Kingdom,Worldwide,30,45,FilthyFellas
product 7,SPECIAL DEAL CRACK COCAINE (UK-UK),Stimulants,Crack,Escrow,FilthyFellas,United Kingdom,United Kingdom,0.5g,45,FilthyFellas
product 0,Metadon 20mg -Marlodon-Skickas lösa- -,Opiates,Opiate Substitutes,Escrow,FinSmakaren,Sweden,Sweden,3,58,FinSmakaren
product 1,AMFETAMIN BATCH #3 -  TOPP++,Stimulants,Speed,Escrow,FinSmakaren,Sweden,Sweden,5g,37,FinSmakaren
product 2,Hasch - Brabus,Cannabis,Hash,Escrow,FinSmakaren,Sweden,Sweden,3g,26,FinSmakaren
product 3,Benzo Fury (6-APB) - UTFÖRSÄLJNING 30% EXTRA PER ORDER!,Stimulants,Other,Escrow,FinSmakaren,Sweden,Sweden,1g,69,FinSmakaren
product 0,🍀 Trim / Kleinzeug 🍀,Cannabis,Shake & Cuttings,FE,FionasBioShop,Germany,Europe,5g,43,FionasBioShop
product 1,🍀 Charas Hash A+++ 🍀,Cannabis,Hash,FE,FionasBioShop,Germany,Europe,1g,15,FionasBioShop
product 2,🌴 Tropicana Kush A+++ 🌴,Cannabis,Buds & Flowers,FE,FionasBioShop,Germany,Europe,1g,15,FionasBioShop
product 3,🍋Lemon Haze Hash A+++ 🍋,Cannabis,Hash,FE,FionasBioShop,Germany,Europe,1g,15,FionasBioShop
product 4,🔥 Fishscale Cocaine 96%+ 🔥,Stimulants,Coke,FE,FionasBioShop,Germany,Europe,0.5g,48,FionasBioShop
product 5,❤️ Tips  Trinkgeld ❤️,Cannabis,Other,FE,FionasBioShop,Germany,Europe,1,1,FionasBioShop
product 6,🌵 Cactus Haze A+++ 🌵,Cannabis,Buds & Flowers,FE,FionasBioShop,Germany,Europe,1g,15,FionasBioShop
product 0,Nicole Kush HASCH +28% + 10% på varje order,Cannabis,Hash,Escrow,Flighttravels,Sweden,Worldwide,5g,27,Flighttravels
product 1,Speed från Estland + 10% på varje order,Stimulants,Speed,Escrow,Flighttravels,Sweden,Worldwide,5g,22,Flighttravels
product 2,Amfetamin 69% Straight from source + 10% på varje order,Stimulants,Speed,Escrow,Flighttravels,Sweden,Worldwide,5g,22,Flighttravels
product 3,XTC Lila Punishers 250mg MDMA + 10% på varje order,Ecstasy,Pills,Escrow,Flighttravels,Sweden,Worldwide,5,18,Flighttravels
product 4,Pyroclastic Blow 250ug + 10% på varje order,Pyschedelic,LSD,Escrow,Flighttravels,Sweden,Worldwide,5,27,Flighttravels
product 5,XTC BLUE Punishers ~300mg + 10% på varje order,Ecstasy,Pills,Escrow,Flighttravels,Sweden,Worldwide,10,27,Flighttravels
product 6,PREMIUM AMFETAMIN +++ + 10% på varje order,Stimulants,Speed,Escrow,Flighttravels,Sweden,Worldwide,5g,27,Flighttravels
product 0,KOKAIN ★ Tesla,Stimulants,Coke,Escrow,Flumbutiken,Sweden,Europe,1g,62,Flumbutiken
product 1,Hasch ☆ Green Lantern,Cannabis,Hash,Escrow,Flumbutiken,Sweden,Sweden,1g,11,Flumbutiken
product 2,Hasch ☆ Strawberry Haze,Cannabis,Hash,Escrow,Flumbutiken,Sweden,Europe,3g,27,Flumbutiken
product 0,1ml THC  Disposable Vape Pen kit  SKYWALKER OG RUNTZ,Cannabis,E-Liquid,Escrow,FlyHighShop,United Kingdom,Worldwide,1,34,FlyHighShop
product 1,Skywalker OG Cali Weed Uk Free Express Delivery,Cannabis,Buds & Flowers,Escrow,FlyHighShop,United Kingdom,Worldwide,1g,11,FlyHighShop
product 2,Skywalker Og Pure Gold Dust From Drying Net,Cannabis,Shake & Cuttings,Escrow,FlyHighShop,United Kingdom,Worldwide,20g,68,FlyHighShop
product 3,MAC1 TOP UK MEDICAL CALI NDD BEST IN UK,Cannabis,Buds & Flowers,Escrow,FlyHighShop,United Kingdom,Worldwide,1g,11,FlyHighShop
product 4,Skywalker Og trimming shake with some buds NDD,Cannabis,Shake & Cuttings,Escrow,FlyHighShop,United Kingdom,Worldwide,20g,79,FlyHighShop
product 5,Bruce Banner Real Cali Smoke Unforgettable NDD,Cannabis,Buds & Flowers,Escrow,FlyHighShop,United Kingdom,Worldwide,1g,11,FlyHighShop
product 6,RSO Rick Simpson Oil - Made by Fly-High,Cannabis,Concentrates,Escrow,FlyHighShop,United Kingdom,Worldwide,1mg,40,FlyHighShop
product 7,Biscotti Peach *NEW* Taste from Heavens,Cannabis,Buds & Flowers,Escrow,FlyHighShop,United Kingdom,Worldwide,1g,11,FlyHighShop
product 0,10G HASH JAUNE MOUSSEUX 60€,Cannabis,Hash,Escrow,FranceCanna,France,Europe,5g,30,FranceCanna
product 1,WEED IMPORT USA,Cannabis,Buds & Flowers,Escrow,FranceCanna,France,Europe,5g,35,FranceCanna
product 2,20G HASH JAUNE MOUSSEUX 120€,Cannabis,Hash,Escrow,FranceCanna,France,Europe,5g,30,FranceCanna
product 0,PURE COLOMBIAN COCAINE INTRO OFFER  CHEAPEST!! PROMO PRICE!!,Stimulants,Coke,Escrow,franklinsaint,Netherlands,Worldwide,1g,40,franklinsaint
product 1,Dutch MDMA 84% (CHEAPEST ON THE MARKET) (BULK),Ecstasy,MDMA,Escrow,franklinsaint,Netherlands,Worldwide,50g,275,franklinsaint
product 2,"CALI WEED ""'MCFLURRY""' (US IMPORT)",Cannabis,Buds & Flowers,Escrow,franklinsaint,Netherlands,Worldwide,25g,400,franklinsaint
product 3,OVO XTC PILS 250MG NL>WW,Ecstasy,Pills,Escrow,franklinsaint,Netherlands,Worldwide,100,125,franklinsaint
product 0,amfetamin 0.2g kapsel,Stimulants,Speed,Escrow,FRAPPA,Sweden,Sweden,20mg,115,FRAPPA
product 1,METAMINA DEXAMFETAMINSULFAT,Stimulants,Pills,Escrow,FRAPPA,Sweden,Sweden,30,106,FRAPPA
product 0,HASH - Made in Morocco - FRANCE,Cannabis,Hash,Escrow,Frenchemicals,France,Worldwide,1g,10,Frenchemicals
product 1,COCAINE - 98% Pure - FRANCE,Stimulants,Coke,Escrow,Frenchemicals,France,Worldwide,0.5g,40,Frenchemicals
product 2,Weed - Cali USA - FRANCE,Cannabis,Buds & Flowers,Escrow,Frenchemicals,France,Worldwide,1g,25,Frenchemicals
product 3,XTC - Punisher Pink 280mg - France,Ecstasy,Pills,Escrow,Frenchemicals,France,Worldwide,1,8,Frenchemicals
product 4,Filter - 120μm Gelato - FRANCE,Cannabis,Hash,Escrow,Frenchemicals,France,Worldwide,1g,20,Frenchemicals
product 0,Haribo Schtroumpfs PIK 500MG 10 PCS,Cannabis,Edibles,Escrow,FrenchyCali,France,Worldwide,1,20,FrenchyCali
product 1,Haribo Croco PIK 500MG 10 PCS,Cannabis,Edibles,Escrow,FrenchyCali,France,Worldwide,1,20,FrenchyCali
product 2,CURE PEN CARTRIDGE 1000MG !,Cannabis,E-Liquid,Escrow,FrenchyCali,France,Worldwide,1,35,FrenchyCali
product 3,Haribo Tutti Candi 500MG 10 PCS,Cannabis,Edibles,Escrow,FrenchyCali,France,Worldwide,1,20,FrenchyCali
product 4,MDMA CHAMPAGNE 84% FROM THE LAB,Ecstasy,MDMA,Escrow,FrenchyCali,France,Worldwide,10g,140,FrenchyCali
product 5,Energy Control LAB RESULT,Cannabis,E-Liquid,Escrow,FrenchyCali,France,Worldwide,1mg,1000000,FrenchyCali
product 6,Haribo Miami Pik 500MG 10 PCS,Cannabis,Edibles,Escrow,FrenchyCali,France,Worldwide,1,20,FrenchyCali
product 7,Ketamine Sugar,Disassociatives,Ketamine,Escrow,FrenchyCali,France,Worldwide,10g,150,FrenchyCali
product 0,Golden Teacher Mushrooms!,Pyschedelic,Mushrooms,Escrow,Fungi4you,United States of America,United States of America,7g,24,Fungi4you
product 1,Gorilla Glue #4 Bulk Sale!,Cannabis,Buds & Flowers,Escrow,Fungi4you,United States of America,United States of America,1oz,78,Fungi4you
product 2,Blueberry Diesel Bulk Sale!,Cannabis,Buds & Flowers,Escrow,Fungi4you,United States of America,United States of America,1oz,120,Fungi4you
product 3,Shrooms! Penis Envy p. cubensis!,Pyschedelic,Mushrooms,Escrow,Fungi4you,United States of America,United States of America,7g,45,Fungi4you
product 0,100mg APE caps 🍄 Micro dosing,Pyschedelic,Mushrooms,Escrow,FungiRx,United States of America,United States of America,10,30,FungiRx
product 1,50ugX90drop LSD Vial 💎💎 Recreational dosing,Pyschedelic,LSD,Escrow,FungiRx,United States of America,United States of America,1,137,FungiRx
product 2,50ug geltabs WF LSD 💎💎 Recreational dosing,Pyschedelic,LSD,Escrow,FungiRx,United States of America,United States of America,5,22,FungiRx
product 3,RED Geltabs | THC 10 mg | CBD 0.7 mg | Sativa,Cannabis,Edibles,Escrow,FungiRx,United States of America,United States of America,25,25,FungiRx
product 4,DF Dragonflies psyche sessions,Ecstasy,MDMA,Escrow,FungiRx,United States of America,United States of America,1,17,FungiRx
product 5,100ug Geltabs NP LSD 💎💎💎 Psychedelic dosing,Pyschedelic,LSD,Escrow,FungiRx,United States of America,United States of America,5,40,FungiRx
product 6,FF Fireflies peacful sessions,Ecstasy,MDMA,Escrow,FungiRx,United States of America,United States of America,1,14,FungiRx
product 7,280mg GT caps 🍄🍄 Recreational dosing,Pyschedelic,Mushrooms,Escrow,FungiRx,United States of America,United States of America,10,27,FungiRx
product 0,(DK) HiTech Lean Codeine Syrup - Small bottle,Opiates,Pills,Escrow,future01,Denmark,Europe,1,25,future01
product 1,(DK) HiTech Lean Codeine Syrup - Orginal bottle,Opiates,Pills,Escrow,future01,Denmark,Europe,1,230,future01
product 2,Tramadol 50mg - Spanish Pharmacy,Opiates,Pills,Escrow,future01,Spain,Worldwide,50,35,future01
product 3,Concerta 54mg  (EU PHARMACY),Stimulants,Pills,Escrow,future01,Spain,Worldwide,10,90,future01
product 4,Concerta 36mg  (EU PHARMACY),Stimulants,Pills,Escrow,future01,Spain,Worldwide,10,60,future01
product 5,Pregabalin (Lyrica) 300mg,Prescriptions,Pregabalin,Escrow,future01,Netherlands,Worldwide,50,39,future01
product 6,ELVANSE 70mg (EU PHARMACY),Stimulants,Pills,Escrow,future01,Spain,Worldwide,10,170,future01
product 0,"badder, none crc, cali, super sale, 14 grams, exotic",Cannabis,Concentrates,Escrow,GanjaHero,United States of America,United States of America,14g,41,GanjaHero
product 1,"LIVE RESIN, back in stock, Friendly Farm, ZaZa cart",Cannabis,Concentrates,Escrow,GanjaHero,United States of America,United States of America,1,8,GanjaHero
product 2,"10 ml terpenes, high quality, exotics",Cannabis,E-Liquid,Escrow,GanjaHero,United States of America,Worldwide,10ml,55,GanjaHero
product 3,"shatter, none crc, cali made, exotic,14 grams, sale",Cannabis,Concentrates,Escrow,GanjaHero,United States of America,United States of America,14g,41,GanjaHero
product 4,"INT, E,JUICE,budget, distillate,guranteed delivery, delta 8",Cannabis,E-Liquid,Escrow,GanjaHero,United States of America,Worldwide,250ml,644,GanjaHero
product 5,"THCO.THC-o,THC  o,92% pure, US - US, terped, raw, distillate",Cannabis,Other,Escrow,GanjaHero,United States of America,United States of America,30g,64,GanjaHero
product 6,"MoonRocks, 420, sale, Moon, Rocks, GanjaHero, caviar",Cannabis,Concentrates,Escrow,GanjaHero,United States of America,United States of America,7g,37,GanjaHero
product 7,"20 strains,budget,OREGON,ORGANIC,weed, sale, ganjahero",Cannabis,Buds & Flowers,Escrow,GanjaHero,United States of America,United States of America,448g,483,GanjaHero
product 0,Coke drop 🚛  [STOCKHOLM-ZONE],Stimulants,Coke,Escrow,Gasmamman,Sweden,Sweden,10g,576,Gasmamman
product 1,"3-CMC, kristall Holland",Stimulants,3-CMC,Escrow,Gasmamman,Sweden,Europe,50g,532,Gasmamman
product 2,Gorilla Glue 🐒,Cannabis,Hash,Escrow,Gasmamman,Sweden,Europe,50g,222,Gasmamman
product 3,G-Thirteen (EXCLUSIVE-HASH) ☣️,Cannabis,Hash,Escrow,Gasmamman,Sweden,Europe,50g,222,Gasmamman
product 4,Y57  🇧🇴  [Boiled 92%],Stimulants,Coke,Escrow,Gasmamman,Sweden,Europe,1g,62,Gasmamman
